codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_elemento_despesa,nome_elemento_despesa,valor_total_fixado
048,201000,01,01  ,31900300,PENSOES,70000
048,201000,01,01  ,31900400,CONTRATACAO POR TEMPO DETERMINADO,20000
048,201000,01,01  ,31901100,VENCIMENTOS E VANT. FIXAS PESSOAL CIVIL,1415000
048,201000,01,01  ,31901300,OBRIGACOES PATRONAIS,240000
048,201000,01,01  ,31909200,DESPESAS DE EXERCICIOS ANTERIORES,10000
048,201000,01,01  ,31909400,INDENIZACOES E RESTITUICOES TRABALHISTAS,10000
048,201000,01,01  ,33901400,DIARIAS - CIVIL,50000
048,201000,01,01  ,33903000,MATERIAL DE CONSUMO,90000
048,201000,01,01  ,33903300,PASSAGENS E DESPESAS COM LOCOMOCAO,10000
048,201000,01,01  ,33903500,SERVICOS DE CONSULTORIA,30000
048,201000,01,01  ,33903600,OUTROS SERV. DE TERCEIROS PESSOA FISICA,180000
048,201000,01,01  ,33903900,OUTROS SERV. DE TERC. PESSOA JURIDICA,340000
048,201000,01,01  ,33909200,DESPESAS DE EXERCICIOS ANTERIORES,20000
048,201000,01,01  ,44905100,OBRAS E INSTALACOES,40000
048,201000,01,01  ,44905200,EQUIPAMENTOS E MATERIAL PERMANENTE,60000
048,201000,01,01  ,46907100,PRINCIPAL DA DIVIDA CONTRATUAL RESGATADO,15000
048,201000,02,02  ,31900400,CONTRATACAO POR TEMPO DETERMINADO,5000
048,201000,02,02  ,31901100,VENCIMENTOS E VANT. FIXAS PESSOAL CIVIL,300000
048,201000,02,02  ,31901300,OBRIGACOES PATRONAIS,75000
048,201000,02,02  ,31901600,OUTRAS DESP. VARIAVEIS PESSOAL CIVIL,2000
048,201000,02,02  ,31909200,DESPESAS DE EXERCICIOS ANTERIORES,10000
048,201000,02,02  ,33901400,DIARIAS - CIVIL,30000
048,201000,02,02  ,33903000,MATERIAL DE CONSUMO,51000
048,201000,02,02  ,33903100,PREMIACOES CULT.ART.CIENT.DESP.E OUTRAS,5000
048,201000,02,02  ,33903200,MATERIAL DE DISTRIBUICAO GRATUITA,5000
048,201000,02,02  ,33903600,OUTROS SERV. DE TERCEIROS PESSOA FISICA,31000
048,201000,02,02  ,33903900,OUTROS SERV. DE TERC. PESSOA JURIDICA,126000
048,201000,02,02  ,33909200,DESPESAS DE EXERCICIOS ANTERIORES,6000
048,201000,02,02  ,44905200,EQUIPAMENTOS E MATERIAL PERMANENTE,30000
048,201000,03,03  ,31900400,CONTRATACAO POR TEMPO DETERMINADO,1000
048,201000,03,03  ,31901100,VENCIMENTOS E VANT. FIXAS PESSOAL CIVIL,10000
048,201000,03,03  ,31901300,OBRIGACOES PATRONAIS,2000
048,201000,03,03  ,33901400,DIARIAS - CIVIL,10000
048,201000,03,03  ,33903000,MATERIAL DE CONSUMO,1000
048,201000,03,03  ,33903600,OUTROS SERV. DE TERCEIROS PESSOA FISICA,1000
048,201000,03,03  ,33903900,OUTROS SERV. DE TERC. PESSOA JURIDICA,1000
048,201000,03,03  ,33909200,DESPESAS DE EXERCICIOS ANTERIORES,1000
048,201000,04,04  ,31900400,CONTRATACAO POR TEMPO DETERMINADO,1000
048,201000,04,04  ,31901100,VENCIMENTOS E VANT. FIXAS PESSOAL CIVIL,250000
048,201000,04,04  ,31901300,OBRIGACOES PATRONAIS,45000
048,201000,04,04  ,31909100,SENTENCAS JUDICIAIS,600000
048,201000,04,04  ,31909200,DESPESAS DE EXERCICIOS ANTERIORES,2000
048,201000,04,04  ,31909400,INDENIZACOES E RESTITUICOES TRABALHISTAS,1000
048,201000,04,04  ,31909600,RESSARCIMENTO DE DESP. DE PESSOAL REQUIS,1000
048,201000,04,04  ,33901400,DIARIAS - CIVIL,30000
048,201000,04,04  ,33903000,MATERIAL DE CONSUMO,5000
048,201000,04,04  ,33903600,OUTROS SERV. DE TERCEIROS PESSOA FISICA,5000
048,201000,04,04  ,33903900,OUTROS SERV. DE TERC. PESSOA JURIDICA,15000
048,201000,04,04  ,33909100,SENTENCAS JUDICIAIS,5000
048,201000,04,04  ,33909200,DESPESAS DE EXERCICIOS ANTERIORES,1000
048,201000,04,04  ,44905200,EQUIPAMENTOS E MATERIAL PERMANENTE,35000
048,201000,05,05  ,31900100,APOSENTADORIAS E REFORMAS,30000
048,201000,05,05  ,31900300,PENSOES,180000
048,201000,05,05  ,31900400,CONTRATACAO POR TEMPO DETERMINADO,1000
048,201000,05,05  ,31901100,VENCIMENTOS E VANT. FIXAS PESSOAL CIVIL,320000
048,201000,05,05  ,31901300,OBRIGACOES PATRONAIS,80000
048,201000,05,05  ,31909200,DESPESAS DE EXERCICIOS ANTERIORES,5000
048,201000,05,05  ,31909400,INDENIZACOES E RESTITUICOES TRABALHISTAS,1000
048,201000,05,05  ,31909600,RESSARCIMENTO DE DESP. DE PESSOAL REQUIS,1000
048,201000,05,05  ,33901400,DIARIAS - CIVIL,10000
048,201000,05,05  ,33903000,MATERIAL DE CONSUMO,10000
048,201000,05,05  ,33903500,SERVICOS DE CONSULTORIA,1000
048,201000,05,05  ,33903600,OUTROS SERV. DE TERCEIROS PESSOA FISICA,5000
048,201000,05,05  ,33903900,OUTROS SERV. DE TERC. PESSOA JURIDICA,30000
