codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_rubrica,tipo_fonte,codigo_fonte,descricao_rubrica,valor_previsto
048,201000,06,06  ,111202000000,0,00       ,IMPOSTO SOBRE A PROPRIEDADE PREDIAL TERRITORIAL URBANA,250000
048,201000,06,06  ,111204310000,0,00       ,IMPOSTO DE RENDA RETIDO NAS FONTES SOBRE RENDIMENTOS DO TRABALHO,100000
048,201000,06,06  ,111204340000,0,00       ,IMPOSTO DE RENDA RETIDO NAS FONTES SOBRE OUTROS RENDIMENTOS,20000
048,201000,06,06  ,111208000000,0,00       ,IMPOSTO SOBRE TRANSMISSAO DE BENS IMOVEIS - ITBI,100000
048,201000,06,06  ,111305000000,0,00       ,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA,500000
048,201000,06,06  ,112199000000,0,00       ,OUTRAS TAXAS PELO EXERCICIO DO PODER DE POLICIA,50000
048,201000,06,06  ,112299000000,0,00       ,OUTRAS TAXAS PELA PRESTACAO DE SERVICOS,100000
048,201000,06,06  ,122029000000,0,00       ,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA,100000
048,201000,06,06  ,132501020000,0,00       ,REC. DE REM. DE DEP. BANC. DE REC. VINC. - FUNDEB,30000
048,201000,06,06  ,132501030000,0,00       ,REC. DE REM. DE DEP. BANC. DE REC. VINC. - FUNDO DE SAUDE,20000
048,201000,06,06  ,132501050000,0,00       ,REC. DE REM. DE DEP. BANC. DE REC. VINC. - MDE,10000
048,201000,06,06  ,132501100000,0,00       ,REC. DE REC. DE DEP. BANC. DE REC. VINC. - FNAS,10000
048,201000,06,06  ,132501990000,0,00       ,REM. DE OUTROS DEP. BANC.DE RECUR. VINCULADO,30000
048,201000,06,06  ,132502990000,0,00       ,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,100000
048,201000,06,06  ,139000000000,0,00       ,OUTRAS RECEITAS PATRIMONIAIS,5000
048,201000,06,06  ,160005010000,0,00       ,SERVICOS HOSPITALARES (SIH),15000
048,201000,06,06  ,160099000000,0,00       ,OUTROS SERVICOS,5000
048,201000,06,06  ,172101020000,0,00       ,COTA-PARTE DO FUNDO DE PARTICIPACAO DOS MUNICIPIOS,21000000
048,201000,06,06  ,172101050000,0,00       ,COTA-PARTE DO IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL,3000
048,201000,06,06  ,172109030000,0,00       ,TRANSFERENCIA SIMPLES NACIONAL - SNA,0
048,201000,06,06  ,172122200000,0,00       ,COTA-PARTE DA COMPENSACAO FINANCEIRA DE RECURSOS MINERAIS,0
048,201000,06,06  ,172122300000,0,00       ,COTA-PARTE ROYALTIES-COMPEN.FINANC.PELA PRODUC.PETRO-LEI 7.990/89,15000
048,201000,06,06  ,172122700000,0,00       ,COTA-PARTE DO FUNDO ESPECIAL DO PETROLEO - FEP,230000
048,201000,06,06  ,172133111000,0,00       ,PISO DE ATENCAO BASICA FIXO (PAB FIXO),1800000
048,201000,06,06  ,172133113100,0,00       ,SAUDE DA FAMILIA,1100000
048,201000,06,06  ,172133113200,0,00       ,AGENTES COMUNITARIOS DE SAUDE,1050000
048,201000,06,06  ,172133113300,0,00       ,SAUDE BUCAL,200000
048,201000,06,06  ,172133131000,0,00       ,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,650000
048,201000,06,06  ,172133132000,0,00       ,VIGILANCIA SANITARIA,90000
048,201000,06,06  ,172133500000,0,00       ,TRANSFERENCIA DE RECURSOS DE MEDIA E ALTA COMPLEXIDADE,7200000
048,201000,06,06  ,172133990000,0,00       ,OUTROS PROGRAMAS FINANC. POR TRANSF. FUNDO A FUNDO,300000
048,201000,06,06  ,172134010000,0,00       ,TRANSF.UNIAO-LOAS-PROGR.ACAO CONTINUADA,900000
048,201000,06,06  ,172135010000,0,00       ,TRANSFERENCIAS DO SALARIO-EDUCACAO,450000
048,201000,06,06  ,172135020000,0,00       ,TRANSFERENCIAS DIRETAS DO FNDE - PROG. DINHEIRO DIRETO NA ESCOLA,50000
048,201000,06,06  ,172135030000,0,00       ,TRANSFERENCIAS DIRETA DO FNDE-PROG. NACIONAL ALIMENTACAO ESCOLAR,700000
048,201000,06,06  ,172135040000,0,00       ,TRAN.DIR.FNDE REF.AO PROGR.NACIONAL DE APOIO TRANSP.ESCOLAR-PNATE,200000
048,201000,06,06  ,172135990000,0,00       ,OUTRAS TRANSF. DIR. FUND. NACIO. DESENVOLVIMENTO DA EDUCACAO-FNDE,100000
048,201000,06,06  ,172136000000,0,00       ,TRANSFERENCIA FINANCEIRA DO ICMS - DESONERACAO - LC. No 87/96,25000
048,201000,06,06  ,172199000000,0,00       ,OUTRAS TRANSFERENCIAS DA UNIAO,200000
048,201000,06,06  ,172201010000,0,00       ,COTA-PARTE DO ICMS,3200000
048,201000,06,06  ,172201020000,0,00       ,COTA-PARTE DO IPVA,900000
048,201000,06,06  ,172201040000,0,00       ,COTA-PARTE DO IPI SOBRE EXPORTACAO,18000
048,201000,06,06  ,172201130000,0,00       ,COTA-PARTE DA CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO,60000
048,201000,06,06  ,172201140000,0,00       ,TRANSFERENCIA - FEX AUXILIO FINAN. P/ FOM. EXP.,0
048,201000,06,06  ,172299000000,0,00       ,OUTRAS TRANSFERENCIAS DOS ESTADOS,100000
048,201000,06,06  ,172401000000,0,00       ,TRANSF.RECUR.DO FUNDO DE MAN.DESENV. DA EDUCACAO BASICA - FUNDEB,11786000
048,201000,06,06  ,172402000000,0,00       ,TRANSFERENCIA DE RECURSOS DA COMPLEMENTACAO DA UNIAO AO FUNDEB,4500000
048,201000,06,06  ,176199000000,0,00       ,OUTRAS TRANSFERENCIAS DE CONVENIOS DA UNIAO,500000
048,201000,06,06  ,176299000000,0,00       ,OUTRAS TRANSFERENCIAS DE CONVENIO DOS ESTADOS,200000
048,201000,06,06  ,191138000000,0,00       ,MULTAS E JUROS DE MORA DO IPTU,1000
048,201000,06,06  ,191948000000,0,00       ,MULTAS APLICADAS PELOS TRIBUNAIS DE CONTAS,19000
048,201000,06,06  ,192199000000,0,00       ,OUTRAS INDENIZACOES,10000
048,201000,06,06  ,192299000000,0,00       ,OUTRAS RESTITUICOES,10000
048,201000,06,06  ,193111000000,0,00       ,RECEITA DA DIVIDA ATIVA DO I.P.T.U.,80000
048,201000,06,06  ,193199010000,0,00       ,RECEITA DA DIVIDA ATIVA DE OUTROS TRIBUTOS - PRINCIPAL,20000
048,201000,06,06  ,193299010000,0,00       ,RECEITA DA DIVIDA ATIVA NAO-TRIBUTARIA DE OUTRAS REC. - PRINCIPAL,0
048,201000,06,06  ,199099000000,0,00       ,OUTRAS RECEITAS,10000
048,201000,06,06  ,242199000000,0,00       ,OUTRAS TRANSFERENCIAS DA UNIAO,300000
048,201000,06,06  ,242299000000,0,00       ,OUTRAS TRANSFERENCIAS DOS ESTADOS,150000
048,201000,06,06  ,247199000000,0,00       ,OUTRAS TRANSFERENCIAS DE CONVENIO DA UNIAO,2364000
048,201000,06,06  ,247299000000,0,00       ,OUTRAS TRANSFERENCIAS DE CONVENIO DOS ESTADOS,393200
048,201000,06,06  ,972101020000,0,00       ,DEDUCAO DE RECEITA DO FPM - FUNDEB E REDUTOR FINANCEIRO,-4200000
048,201000,06,06  ,972101050000,0,00       ,DEDUCAO DE RECEITA PARA FORMACAO DO FUNDEB - ITR,-600
048,201000,06,06  ,972136000000,0,00       ,DEDUCAO DE REC.P/FORM.DO FUNDEB-ICMS DESONERACAO LEI COMPL. 87/96,-5000
048,201000,06,06  ,972201010000,0,00       ,DEDUCAO DE RECEITA P/ FORMACAO DO FUNDEB - ICMS,-640000
048,201000,06,06  ,972201020000,0,00       ,DEDUCAO DE RECEITA PARA FORMACAO DO FUNDEB - IPVA,-180000
048,201000,06,06  ,972201040000,0,00       ,DEDUCAO DE RECEITA P/ FORMACAO DO FUNDEB - IPI EXPORTACAO,-3600
