codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_rubrica,tipo_fonte,codigo_fonte,descricao_rubrica,valor_previsto
048,201700,34,34  ,111202000000000,1,01       ,Imposto sobre a Propriedade Predial Territorial Urbana,907200.0
048,201700,34,34  ,111202000000000,2,02       ,Imposto sobre a Propriedade Predial Territorial Urbana,378000.0
048,201700,34,34  ,111202000000000,2,03       ,Imposto sobre a Propriedade Predial Territorial Urbana,226800.0
048,201700,34,34  ,111204310000000,1,01       ,Imposto de Renda Retido nas Fontes sobre Rendimentos do Trabalho,1068000.0
048,201700,34,34  ,111204310000000,2,02       ,Imposto de Renda Retido nas Fontes sobre Rendimentos do Trabalho,445000.0
048,201700,34,34  ,111204310000000,2,03       ,Imposto de Renda Retido nas Fontes sobre Rendimentos do Trabalho,267000.0
048,201700,34,34  ,111208000000000,1,01       ,Imposto sobre Transmissao de Bens Imoveis - ITBI,522000.0
048,201700,34,34  ,111208000000000,2,02       ,Imposto sobre Transmissao de Bens Imoveis - ITBI,217500.0
048,201700,34,34  ,111208000000000,2,03       ,Imposto sobre Transmissao de Bens Imoveis - ITBI,130500.0
048,201700,34,34  ,111305010000000,1,01       ,Imposto sobre Servicos de Qualquer Natureza,1988400.0
048,201700,34,34  ,111305010000000,2,02       ,Imposto sobre Servicos de Qualquer Natureza,828500.0
048,201700,34,34  ,111305010000000,2,03       ,Imposto sobre Servicos de Qualquer Natureza,497100.0
048,201700,34,34  ,111305010100000,1,01       ,ISS SIMPLES NACIONAL,0.0
048,201700,34,34  ,112117000000000,1,01       ,Taxa de Fiscalizacao de Vigilancia Sanitaria,50000.0
048,201700,34,34  ,112121000000000,2,27       ,Taxa de Controle e Fiscalizacao Ambiental,175000.0
048,201700,34,34  ,112125000000000,1,01       ,Taxa de Licenca para Funcion.Estabelec.Comerc.Indust.e Pres.Servi,83600.0
048,201700,34,34  ,112131000000000,1,01       ,Taxa de Utilizacao de Area de Dominio Publico,78000.0
048,201700,34,34  ,112199000000000,1,01       ,Outras Taxas pelo Exercicio do Poder de Policia,133000.0
048,201700,34,34  ,112299000000000,1,01       ,Outras Taxas pela Prestacao de Servicos,211000.0
048,201700,34,34  ,123000000000000,2,12       ,Contribuicao para o Custeio do Servico de Iluminacao Publica,7500800.0
048,201700,34,34  ,132501010000000,2,30       ,Rec. de Rem. de Dep. Banc. de Rec. Vinc. - Royalties,5000.0
048,201700,34,34  ,132501020000000,2,13       ,Rec. de Rem. de Dep. Banc. de Rec. Vinc. - FUNDEB,98400.0
048,201700,34,34  ,132501020000000,2,14       ,Rec. de Rem. de Dep. Banc. de Rec. Vinc. - FUNDEB,65600.0
048,201700,34,34  ,132501030000000,2,09       ,Rec. de Rem. de Dep. Banc. de Rec. Vinc. - Fundo de Saude,148000.0
048,201700,34,34  ,132501050000000,2,10       ,Rec. de Rem. de Dep. Banc. de Rec. Vinc. - MDE,83000.0
048,201700,34,34  ,132501060000000,1,01       ,Rec. de Rem. de Dep. Banc. de Rec. Vinc. - Acoes Serv.Publ.e Saud,50000.0
048,201700,34,34  ,132501100000000,2,24       ,Rec. de Rem. de Dep. Banc. de Rec. Vinc. - FNAS,60000.0
048,201700,34,34  ,132501999900000,1,01       ,Rem. de Outros Dep. Banc.de Recur. Vinculado,215000.0
048,201700,34,34  ,132502990000000,1,01       ,Remuneracao de Outros Depositos de Recursos nao vinculados,155000.0
048,201700,34,34  ,139000000000000,1,01       ,Outras Receitas Patrimoniais,55000.0
048,201700,34,34  ,160005990000000,2,07       ,Outros Servicos de Saude,30000.0
048,201700,34,34  ,160013010000000,1,01       ,Servicos Inscricao em Concursos Publicos,50000.0
048,201700,34,34  ,160099000000000,1,01       ,Outros Servicos,20000.0
048,201700,34,34  ,172101020000000,1,01       ,Cota-Parte do Fundo de Participacao dos Municipios - Cota Mensal,23308581.75
048,201700,34,34  ,172101020000000,2,02       ,Cota-Parte do Fundo de Participacao dos Municipios - Cota Mensal,1942381.81
048,201700,34,34  ,172101020000000,2,03       ,Cota-Parte do Fundo de Participacao dos Municipios - Cota Mensal,5827145.44
048,201700,34,34  ,172101020000000,2,13       ,Cota-Parte do Fundo de Participacao dos Municipios - Cota Mensal,4661716.35
048,201700,34,34  ,172101020000000,2,14       ,Cota-Parte do Fundo de Participacao dos Municipios - Cota Mensal,3107810.9
048,201700,34,34  ,172101050000000,1,01       ,Cota-Parte do Imposto sobre a Propriedade Territorial Rural,15000.0
048,201700,34,34  ,172101050000000,2,02       ,Cota-Parte do Imposto sobre a Propriedade Territorial Rural,1250.0
048,201700,34,34  ,172101050000000,2,03       ,Cota-Parte do Imposto sobre a Propriedade Territorial Rural,3750.0
048,201700,34,34  ,172101050000000,2,13       ,Cota-Parte do Imposto sobre a Propriedade Territorial Rural,3000.0
048,201700,34,34  ,172101050000000,2,14       ,Cota-Parte do Imposto sobre a Propriedade Territorial Rural,2000.0
048,201700,34,34  ,172122200000000,1,01       ,Cota-Parte da Compensacao Financeira de Recursos Minerais - CFEM,1000.0
048,201700,34,34  ,172122300000000,2,30       ,Cota-Parte Royalties-Compen.Financ.pela Produc.Petro-Lei 7.990/89,50200.0
048,201700,34,34  ,172122500000000,2,30       ,Cota-Parte Royalties pela Participacao Especial-Lei No 9.478/97,18000.0
048,201700,34,34  ,172122700000000,2,30       ,Cota-Parte do Fundo Especial do Petroleo - FEP,542000.0
048,201700,34,34  ,172122900000000,2,30       ,Outras Transf.Decorrentes de Comp. Financ. p/Explor. Rec.Naturais,1000.0
048,201700,34,34  ,172133111000000,2,09       ,Piso de Atencao Basica Fixo (PAB Fixo),3417893.4
048,201700,34,34  ,172133113000000,2,09       ,Piso de Atencao Basica Variavel (PAB Variavel),2337168.0
048,201700,34,34  ,172133113100000,2,09       ,Saude da Familia,1308480.0
048,201700,34,34  ,172133113200000,2,09       ,Agentes Comunitarios de Saude,425880.0
048,201700,34,34  ,172133113300000,2,09       ,Saude Bucal,303360.0
048,201700,34,34  ,172133113800000,2,09       ,Nucleo de Apoio a Saude da Familia - NASF,480000.0
048,201700,34,34  ,172133113900000,2,09       ,Outros Programas Financ. por Transf. Fundo a Fundo,1200000.0
048,201700,34,34  ,172133121100000,2,09       ,Teto Financeiro,14582909.64
048,201700,34,34  ,172133121300000,2,09       ,CEO - Centro Espec. Odontologica,158400.0
048,201700,34,34  ,172133121400000,2,09       ,CAPS - Centro de Atencao Psicosocial,400000.0
048,201700,34,34  ,172133122000000,2,09       ,Fundo de Acoes Estrategicas e Compensacao - FAEC,60000.0
048,201700,34,34  ,172133131000000,2,09       ,Vigilancia Epidemiologica e Ambiental em Saude,560569.08
048,201700,34,34  ,172133132000000,2,09       ,Vigilancia Sanitaria,135000.0
048,201700,34,34  ,172133133000000,2,09       ,Outros Programas Financ. por Transf. Fundo a Fundo,140000.0
048,201700,34,34  ,172133141000000,2,09       ,Componente Basico da Assistencia Farmaceutica,72000.0
048,201700,34,34  ,172133145000000,2,09       ,Outros Programas Financ. por Transf. Fundo a Fundo,50000.0
048,201700,34,34  ,172133151000000,2,09       ,Qualificacao da Gestao do SUS,150000.0
048,201700,34,34  ,172133152000000,2,09       ,Implantacao de Acoes e Servicos de Saude,20000.0
048,201700,34,34  ,172133153000000,2,09       ,Outros Programas Financ. por Transf. Fundo a Fundo,20000.0
048,201700,34,34  ,172133990000000,2,09       ,Outros Programas Financ. por Transf. Fundo a Fundo,200000.0
048,201700,34,34  ,172134010000000,2,24       ,Protecao Social Basica,1200000.0
048,201700,34,34  ,172134030000000,2,24       ,Gestao do SUAS,260000.0
048,201700,34,34  ,172134990000000,2,24       ,Outras Transferencias do FNAS,360000.0
048,201700,34,34  ,172135010000000,2,10       ,Transferencias do Salario-Educacao,1631447.28
048,201700,34,34  ,172135020000000,2,10       ,Transfer. Diretas do FNDE - Prog. Dinheiro Direto na Escolar-PDDE,50000.0
