codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_rubrica,tipo_fonte,codigo_fonte,descricao_rubrica,valor_previsto
048,201900,AA,AA  ,111303110000000,1,001000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL,2000000
048,201900,AA,AA  ,111303120000000,1,001000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - MULTAS E JUROS,10000
048,201900,AA,AA  ,111303130000000,1,001000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - DIVIDA ATIVA,40000
048,201900,AA,AA  ,111303410000000,1,001000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - OUTROS RENDIMENTOS - PRINCIPAL,500000
048,201900,AA,AA  ,111303420000000,1,001000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - OUTROS RENDIMENTOS - MULTAS E JUROS,10000
048,201900,AA,AA  ,111303430000000,1,001000000,IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - OUTROS RENDIMENTOS - DIVIDA ATIVA,40000
048,201900,AA,AA  ,111801110000000,1,001000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL,2500000
048,201900,AA,AA  ,111801120000000,1,001000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS,10000
048,201900,AA,AA  ,111801130000000,1,001000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - DIVIDA ATIVA,600000
048,201900,AA,AA  ,111801410000000,1,001000000,IMPOSTO SOBRE TRANSMISSAO  INTER VIVOS  DE BENS IMOVEIS E DE DIREITOS REAIS SOBRE IMOVEIS - PRINCIPAL,600000
048,201900,AA,AA  ,111801420000000,1,001000000,IMPOSTO SOBRE TRANSMISSAO  INTER VIVOS  DE BENS IMOVEIS E DE DIREITOS REAIS SOBRE IMOVEIS - MULTAS E JUROS,10000
048,201900,AA,AA  ,111801430000000,1,001000000,IMPOSTO SOBRE TRANSMISSAO  INTER VIVOS  DE BENS IMOVEIS E DE DIREITOS REAIS SOBRE IMOVEIS - DIVIDA ATIVA,40000
048,201900,AA,AA  ,111802310000000,1,001000000,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - PRINCIPAL,4000000
048,201900,AA,AA  ,111802310100000,1,001000000,ISS - SIMPLES NACIONAL,0
048,201900,AA,AA  ,111802320000000,1,001000000,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - MULTAS E JUROS,10000
048,201900,AA,AA  ,111802330000000,1,001000000,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - DIVIDA ATIVA,40000
048,201900,AA,AA  ,111802410000000,1,001000000,ADICIONAL ISS - FUNDO MUNICIPAL DE COMBATE A POBREZA - PRINCIPAL,2000000
048,201900,AA,AA  ,112101110000000,1,001000000,TAXAS DE INSPECAO  CONTROLE E FISCALIZACAO - PRINCIPAL,500000
048,201900,AA,AA  ,112201110000000,1,001000000,TAXAS PELA PRESTACAO DE SERVICOS - PRINCIPAL,500000
048,201900,AA,AA  ,124000110000000,1,620000000,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA - PRINCIPAL,50000
048,201900,AA,AA  ,132100110100000,1,530000000,REMUNERACAO DE DEPOSITOS BANCARIOS - VINCULADOS - ROYALTIES,10000
048,201900,AA,AA  ,132100110200000,1,112000000,REMUNERACAO DE DEPOSITOS BANCARIOS - VINCULADOS - FUNDEB,100000
048,201900,AA,AA  ,132100110200000,1,113000000,REMUNERACAO DE DEPOSITOS BANCARIOS - VINCULADOS - FUNDEB,50000
