codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_tipo_orcamento,nome_projeto_atividade,descricao_projeto_atividade,valor_total_fixado_projeto_atividade
048,201200,01,01  ,01,031,0001,2,001,0000,F,MANUTENCAO DO PODER LEGISLATIVO MUNICIPAL,MANUTENCAO DO PODER LEGISLATIVO MUNICIPAL,2533000
048,201200,02,02  ,04,122,0037,2,002,0000,F,CUSTEIO DAS ATIVIDADES DO GABINETE DO PREFEITO,CUSTEIO DAS ATIVIDADES DO GABINETE DO PREFEITO,1505000
048,201200,03,03  ,04,122,0037,2,004,0000,F,MANUTENCAO DO GABINETE DO VICE-PREFEITO,MANUTENCAO DO GABINETE DO VICE-PREFEITO,26000
048,201200,04,04  ,04,122,0037,2,005,0000,F,MANUTENCAO DA PROCURADORIA MUNICIPAL,MANUTENCAO DA PROCURADORIA MUNICIPAL,869000
048,201200,05,05  ,04,122,0037,2,006,0000,F,CUSTEIO ADMINISTRATIVO DA SECRETARIA,CUSTEIO ADMINISTRATIVO DA SECRETARIA,1185000
048,201200,06,06  ,04,123,0037,2,007,0000,F,CUSTEIO ADMINISTRATIVO DA SECRETARIA,CUSTEIO ADMINISTRATIVO DA SECRETARIA,3270000
048,201200,06,06  ,28,843,0962,2,008,0000,F,AMORTIZACAO DA DIVIDA INTERNA,AMORTIZACAO DA DIVIDA INTERNA,1550000
048,201200,06,06  ,99,999,0999,9,001,0000,F,RESERVA DE CONTINGENCIA,RESERVA DE CONTINGENCIA,850000
048,201200,07,07  ,08,122,0037,2,009,0000,S,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,2255000
048,201200,07,07  ,08,241,0121,2,010,0000,S,MANUTENCAO DO CONSELHO MUNICIPAL DOS DIREITOS DO IDOSO - CMDI,MANUTENCAO DAS ATIVIDADES LIGADA AO IDOSO,15000
