codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_tipo_orcamento,nome_projeto_atividade,descricao_projeto_atividade,valor_total_fixado_projeto_atividade
048,201400,01,01  ,01,031,0001,2,001,0000,F,Manutencao do Poder Legislativo Municipal,MANUTENCAO DO PODER LEGISLATIVO MUNICIPAL,3653000
048,201400,02,02  ,04,122,0037,2,002,0000,F,Custeio das Atividades do Gabinete do Prefeito e do Vice Prefeito,CUSTEIO DAS ATIVIDADES DO GABINETE DO PREFEITO e do Vice Prefeito,1468000
048,201400,02,02  ,04,182,0107,2,003,0000,F,Manutencao da Coordenacao Municipal da Defesa Civil,Manutencao da Coordenacao Municipal da Defesa Civil,420000
048,201400,04,04  ,04,122,0037,2,004,0000,F,Manutencao da Procuradoria Municipal,MANUTENCAO DA PROCURADORIA MUNICIPAL,693000
048,201400,04,04  ,04,124,0042,2,005,0000,F,Manutencao das Atividades Gerais da Controladoria do Municipio,Manutencao das Atividades Gerais da Controladoria do Municipio,195000
048,201400,06,06  ,04,122,0037,2,006,0000,F,Custeio das Acoes do Departamento de Gestao Administrativa,Custeio da gestao administrativa,1480000
048,201400,06,06  ,04,123,0037,2,007,0000,F,Custeio Administrativo da Secretaria,CUSTEIO ADMINISTRATIVO DA SECRETARIA,4495000
048,201400,06,06  ,28,843,0962,2,008,0000,F,Amortizacao da Divida Interna,AMORTIZACAO DA DIVIDA INTERNA,1510000
048,201400,06,06  ,99,999,0999,9,001,0000,F,Reserva de Contingencia,RESERVA DE CONTINGENCIA,1000000
048,201400,07,07  ,08,122,0037,2,009,0000,S,Manutencao do Fundo Municipal de Assistencia Social,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,1877000
048,201400,07,07  ,08,241,0121,2,010,0000,S,Protecao Social Basica/Assistencia ao Idoso/Projeto Terceira Idade Cidada,Assistencia ao idoso.,20000
048,201400,07,07  ,08,242,0126,2,011,0000,S,Assistencia ao Portador de Deficiencia Projeto Investimento Cidadao,Assistencia ao portador de deficiecia,11000
048,201400,07,07  ,08,243,0132,2,012,0000,S,Servico de Convivencia e Fortalecimento de Vinculo - SCFV/PBV,protecao social basica.,435000
048,201400,07,07  ,08,244,0126,2,013,0000,S,Implantacao do Conselho Munic. dos Direi da Pessoa com Deficienci.,Implantacao de conselho CMDPD.,17000
048,201400,07,07  ,08,244,0137,1,001,0000,S,Construcao de Unidades de Internacao Restritiva e Provisoria,CONSTRUCAO DE UNIDADES DE INTERNACAO RESTRITIVA E PROVISORIA,100000
048,201400,07,07  ,08,244,0137,1,002,0000,S,Construcao de Centro de Ref. Assist. Social - Cras,CONSTRUCAO DE CENTRO DE REF. ASSIST. SOCIAL - CRAS,100000
048,201400,07,07  ,08,244,0137,1,003,0000,S,Construcao do Centro de Referencia Espec ializado da Assistencia Social - CREAS,"Contrucao do Centro de Referencia Especializado da Assistencia Social - CREAS, no Municipio de Crateus.",200000
048,201400,07,07  ,08,244,0137,1,004,0000,S,Implantacao do Banco de Alimentos,"Implantacao do Banco de Alimentos do Municipio de Crateus, por meio de elaboracao de Projeto Executivo, Construcao de edificacoes e aquisicao de equipamentos e utensilios.",100000
048,201400,07,07  ,08,244,0137,1,005,0000,S,Modernizacao da Cozinha Comunitaria,"Modernizacao da Cozinha Comunitaria do Municipio de Crateus, por meio de elaboracao de Projeto Executivo, Construcao de edificacoes e aquisicao de equipamentos e utensilios.",150000
048,201400,07,07  ,08,244,0137,2,014,0000,S,Manutencao dos Conselhos da Assistencia Social.,Manutencao das atividades dos Conselhoa,70000
048,201400,07,07  ,08,244,0137,2,015,0000,S,Apoio as Acoes Complementares/Gestao do Bolsa Familia,APOIO AS ACOES COMPLEMENTARES/GESTAO DO BOLSA FAMILIA,22000
048,201400,07,07  ,08,244,0137,2,016,0000,S,Operacionalizacao  da Cozinha Comunitaria,APOIO A INSTALACAO DE COZINHA COMUNITARIA,115000
048,201400,07,07  ,08,244,0137,2,017,0000,S,Manutencao do CREAS/PAEFI,MANUTENCAO DE ACOES DE ATENDIMENTO -PAEFI/CREAS,178000
048,201400,07,07  ,08,244,0137,2,018,0000,S,Acolhimento Instituc. p/Jovens e Adultos Com Defic. Piso de Alta Complexidade II;,Servico de acolhimento institucional para jovens e adultos com deficiencia em situacao de dependencia em residencia inclusiva por meio do Piso de Alta Complexildade II - Pac II.,242000
048,201400,07,07  ,08,244,0137,2,019,0000,S,Programa Casa da Familia - PAIF/Cras,MANUTENCAO DO SERVICO DE PROTECAO E ATENDIMENTO INTEGRAL A FAMILIA PAIF - CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL - CRAS,570000
048,201400,07,07  ,08,244,0137,2,020,0000,S,Programa Integracao Aabb Comunidade,MANUTENCAO DO PROGRAMA AABB COMUNIDADE.,105000
048,201400,07,07  ,08,244,0137,2,021,0000,S,Gestao do Programa Bolsa Familia IGD/PBF,Gestao do programa bolsa familia - mIGD/PBF,540000
048,201400,07,07  ,08,244,0137,2,022,0000,S,Aprimoramento da Gestao do Indice de Gestao Descentralizada do SUAS/IGDSUAS,Gestao do Suas/Igdsuas.,85000
048,201400,07,07  ,08,244,0137,2,023,0000,S,Gestao de Beneficios Eventuas-BE,"Distribuicao de beneficios eventuais, tais como: auxilio natalidade e auxilio funeral.",100000
048,201400,07,07  ,08,244,0137,2,024,0000,S,Manutencao do Programa - Acessuas/Traba- lho/Pronatec,Manutencao do Programa Nacional de Promocao do acesso ao Mundo do Trabalho.,90000
048,201400,07,07  ,08,244,0137,2,025,0000,S,Realizacao de Conferencias Municipais.,Manutencao de Conferencias Municipais.,55000
048,201400,07,07  ,08,244,0137,2,026,0000,S,Apoio a acoes do Programa BPC na Escola,Manutencao das acoes do programa BPC na escola.,9000
048,201400,07,07  ,08,244,0137,2,027,0000,S,Protecao Social Basica - Estacao Familia,Protecao a familia.,15000
048,201400,07,07  ,08,244,0426,2,028,0000,S,Manutencao do Projeto Estacao Digital,MANUTENCAO DO PROJETO ESTACAO DIGITAL,29000
048,201400,07,07  ,08,244,0426,2,029,0000,S,Implantacao  do Projeto Cidade Digital - projeto Crateus Digital,ASSEGURAR RECURSOS NECESSARIOS PARA IMPLANTACAO DO PROJETO CRATEUS DIGITAL NO AMBITO DESSE MUNICPIO.,10000
048,201400,07,07  ,08,244,0440,2,030,0000,S,Programa Agricultura Familiar - Inclusao produtiva e Hortas Comunitarias,IMPLANTACAO E APOIO A AGRICULTURA FAMILIAR - INCLUSAO PRODUTIVA E HORTAS COMUNITARIAS,20000
048,201400,07,07  ,08,244,0473,2,031,0000,S,Programa Agricultura Familiar - Compra Direta,IMPLANTACAO E MANUTENCAO DO PROGRAMA COMPRA DIRETA - AGRICULTURA FAMILIAR,20000
048,201400,08,08  ,12,361,0231,1,006,0000,F,"Construcao,Revitalizacao e Ampliacao  de predios da Rede do Ensino Fundamental",CONSTRUCAO REFORMA E AMPLIACAO DE ESCOLAS MUNICIPAIS,1000000
048,201400,08,08  ,12,365,0271,1,007,0000,F,"Construcao,Revitalizacao e Ampliacao de Predios da Rede do Ensino Infantil","CONSTRUCAO,REVITALIZACAO E AMPLIACAO DE PREDIOS DA REDE DO ENSINO INFANTIL",1100000
048,201400,08,08  ,12,366,0281,2,032,0000,F,Programa Brasil Alfabetizado,Cutseio das acoes do Programa Brasil Alfabetizado.,140000
048,201400,08,08  ,12,368,0037,2,033,0000,F,Manutencao das Atividades Educacionais a Cargo do Fundo Municipal de Educacao,CUSTEIO DE ATIVIDADES EDUCACIONAIS,2228000
048,201400,08,08  ,12,368,0196,2,034,0000,F,Programa Nacional de Alimentacao Escolar - Pnae,PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR - PNAE,800000
048,201400,08,08  ,12,368,0286,2,035,0000,F,Desenvolvimento da Educacao Especial,DESENVOLVIMENTO DA EDUCACAO ESPECIAL,21000
048,201400,09,09  ,10,122,0037,2,036,0000,S,Manutencao das Atividades Gerais da   Se cretaria Atraves do F.M.de Saude,MANUTENCAO DAS ATIVIDADES GERAIS DA SECRETARIA ATRAVES DO FUNDO MUNICIPAL DE SAUDE,3980000
048,201400,09,09  ,10,301,0171,2,037,0000,S,Transferencia de Recursos para Sociedade beneficente Sao Camilo - Rec.proprios,Transferencia de recursos para a Sociedade Sao Camilo - recursos proprios.,2700000
