codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_tipo_orcamento,nome_projeto_atividade,descricao_projeto_atividade,valor_total_fixado_projeto_atividade
048,201100,04,04  ,04,122,0037,2,005,0000,F,MANUTENCAO DA PROCURADORIA MUNICIPAL,MANUTENCAO DA PROCURADORIA MUNICIPAL,1567210
048,201100,05,05  ,04,122,0037,2,006,0000,F,CUSTEIO ADMINISTRATIVO DA SECRETARIA,CUSTEIO ADMINISTRATIVO DA SECRETARIA,1161002
048,201100,06,06  ,04,123,0037,2,007,0000,F,CUSTEIO ADMINISTRATIVO DA SECRETARIA,CUSTEIO ADMINISTRATIVO DA SECRETARIA,2450000
048,201100,06,06  ,28,843,0962,2,008,0000,F,AMORTIZACAO DA DIVIDA INTERNA,AMORTIZACAO DA DIVIDA INTERNA,1200000
048,201100,06,06  ,99,999,0999,9,001,0000,F,RESERVA DE CONTINGENCIA,RESERVA DE CONTINGENCIA,754250
048,201100,07,07  ,08,122,0037,2,009,0000,S,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,1370000
048,201100,07,07  ,08,241,0121,2,010,0000,S,MANUTENCAO DO CONSELHO MUNICIPAL DOS DIREITOS DO IDOSO - CMDI,MANUTENCAO DAS ATIVIDADES LIGADA AO IDOSO,181000
048,201100,07,07  ,08,244,0137,1,002,0000,S,CONSTRUCAO DE UNIDADES DE INTERNACAO RESTRITIVA E PROVISORIA,CONSTRUCAO DE UNIDADES DE INTERNACAO RESTRITIVA E PROVISORIA,100000
048,201100,07,07  ,08,244,0137,1,004,0000,S,CONSTRUCAO DE CENTRO DE REF. ASSIST. SOCIAL - CRAS,CONSTRUCAO DE CENTRO DE REF. ASSIST. SOCIAL - CRAS,100000
048,201100,07,07  ,08,244,0137,2,014,0000,S,MANUTENCAO DO CONSELHO MUNICIPAL DE ASSISTENCIA SOCIAL - CMAS,MANUTENCAO DAS ATIVIDADES DO CMAS.,50000
048,201100,07,07  ,08,244,0137,2,015,0000,S,APOIO AS ACOES COMPLEMENTARES/GESTAO DO BOLSA FAMILIA,APOIO AS ACOES COMPLEMENTARES/GESTAO DO BOLSA FAMILIA,170000
048,201100,07,07  ,08,244,0137,2,017,0000,S,OPERACIONALIZACAO  DA COZINHA COMUNITARIA,APOIO A INSTALACAO DE COZINHA COMUNITARIA,83000
048,201100,07,07  ,08,244,0137,2,018,0000,S,DESENVOLVER ACOES SOCIO ESPECIAL DE MEDIA COMPLEXIDADE PAEFI/CREAS,MANUTENCAO DE ACOES DE ATENDIMENTO -PAEFI/CREAS,266400
048,201100,07,07  ,08,244,0137,2,020,0000,S,IMPLANTACAO A MANUT.DO CONSELHO MUNICIP DOS DIREITOS DE PESSOAS COM DEFICIENCIA,MANUT.ATIV.LIGADAS A PESSOA COM NECESSIDADES ESPECIAIS,37500
048,201100,07,07  ,08,244,0137,2,057,0000,S,PROGRAMA CASA DA FAMILIA - PAIF/CRAS,MANUTENCAO DO SERVICO DE PROTECAO E ATENDIMENTO INTEGRAL A FAMILIA PAIF - CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL - CRAS,464500
048,201100,07,07  ,08,244,0137,2,058,0000,S,PROGRAMA INTEGRACAO AABB COMUNIDADE,MANUTENCAO DO PROGRAMA AABB COMUNIDADE.,48000
048,201100,07,07  ,08,244,0426,2,021,0000,S,MANUTENCAO DO PROJETO ESTACAO DIGITAL,MANUTENCAO DO PROJETO ESTACAO DIGITAL,35500
048,201100,07,07  ,08,244,0426,2,059,0000,S,IMPLANTACAO  DO PROJETO CIDADE DIGITAL - PROJETO CRATEUS DIGITAL,ASSEGURAR RECURSOS NECESSARIOS PARA IMPLANTACAO DO PROJETO CRATEUS DIGITAL NO AMBITO DESSE MUNICPIO.,212000
