codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_tipo_orcamento,nome_projeto_atividade,descricao_projeto_atividade,valor_total_fixado_projeto_atividade
048,201600,01,01  ,01,031,0001,2,001,0000,F,Manutencao do Poder Legislativo Municipal,MANUTENCAO DO PODER LEGISLATIVO MUNICIPAL,3985205.0
048,201600,02,02  ,04,122,0037,2,002,0000,F,Custeio das Atividades do Gabinete do Prefeito e do Vice Prefeito,CUSTEIO DAS ATIVIDADES DO GABINETE DO PREFEITO e do Vice Prefeito,1305000.0
048,201600,04,04  ,04,122,0037,2,004,0000,F,Manutencao da Procuradoria Municipal,MANUTENCAO DA PROCURADORIA MUNICIPAL,811000.0
048,201600,07,07  ,08,241,0121,2,009,0000,S,Protecao Social Basica/Assistencia ao Idoso/Projeto Terceira Idade Cidada,Assistencia ao idoso.,28400.0
048,201600,07,07  ,08,241,0121,2,010,0000,S,Servico de Conviv e Fortalec.de Vinculo ao Idoso-SCFV/Piso Basico Variavel,Fortalecimento de vinculo ao idoso - SCFV/Piso Basico Variavel,55450.0
048,201600,07,07  ,08,242,0126,2,011,0000,S,Assistencia ao Portador de Deficiencia Projeto Investimento Cidadao,Assistencia ao portador de deficiecia,10800.0
048,201600,07,07  ,08,243,0131,2,012,0000,S,"Acolhimento para Criancas,Adolesc.ate 21 anos Piso Alta Complex. Pac I","Servico de acolhimento para criancas, adolescentes ate 21 anos, por meio de Piso de Alta Complexidade I - Pac I.",180000.0
048,201600,07,07  ,08,243,0131,2,013,0000,S,Serv.Convivemcia e Fortalec.de Vinculo p/Crianca/Adolesc de 15/17 anos SCFV/PBV,Fortalecimento de vinculo para a crianca e adolescentes de 15 a 17 anos SCFV/PBV,48950.0
048,201600,07,07  ,08,243,0131,2,014,0000,S,Serv. Conv. Fortalec.de Vinculo p/Crianc as e Adolesc. de 06/15 anos - SCFV/PBV,Servico de Convivencia e Fortalecimento de vinculo para criancas eadolescentes de 06/15 anos SCFV/PBV,48950.0
048,201600,07,07  ,08,243,0131,2,015,0000,S,Serv.Convivencia e Fortalec.de Vinculos p/Criancas de ate 06 anos - SCFV/PBV,Fortalecimento de vinculo para criacas ate 06 anos - SCFV/PBV,48450.0
048,201600,07,07  ,08,243,0131,2,016,0000,S,Realizacao das acoes estrstegicas de Erradic.do Trabalho Infantil-PETI/SUAS,"Execucao do programa de erradicacao do trabalho infantil PETI, atraves do SUAS.",59000.0
048,201600,07,07  ,08,243,0131,2,109,0000,S,Apoio as Acoes do Prog. Nac. de Apri. da Rede Socioassistencial Privada do Suas,Apoio as Acoes do Programa Nacional de Aprimoramento da Rede Socioassistencial Privada do SUAS - Aprimora - Rede / Cadastro Nacional de Entidades de Assistencia Social (CNEAS),10000.0
048,201600,07,07  ,08,243,0131,2,110,0000,S,Nucleo Intersetorial de Apoio ao CADUNIC O-Gestao/Acompanhamento Condicionalidade,Nucleo Intersetorial de Apoio ao CADUNICO,50000.0
048,201600,07,07  ,08,243,0131,2,111,0000,S,Equipar e Modernizar a Rede de Servicos de Protecao Social,Equipar e Modernizar a Rede de Protecao Social.,154000.0
048,201600,07,07  ,08,243,0132,2,017,0000,S,Servico de Convivencia e Fortalecimento de Vinculo - SCFV/PBV,protecao social basica.,48500.0
048,201600,07,07  ,08,244,0126,2,018,0000,S,Manutencao do Conselho Munic. dos Direit os da Pessoa com Deficiencia,Manutencao do conselho CMDPD.,20000.0
048,201600,07,07  ,08,244,0137,1,001,0000,S,Construcao de Centro de Ref. Assist. Social - Cras,CONSTRUCAO DE CENTRO DE REF. ASSIST. SOCIAL - CRAS,110000.0
048,201600,07,07  ,08,244,0137,1,002,0000,S,Construcao do Centro de Referencia Espec ializado da Assistencia Social - CREAS,"Contrucao do Centro de Referencia Especializado da Assistencia Social - CREAS, no Municipio de Crateus.",263000.0
048,201600,07,07  ,08,244,0137,1,003,0000,S,Implantacao do Banco de Alimentos,"Implantacao do Banco de Alimentos do Municipio de Crateus, por meio de elaboracao de Projeto Executivo, Construcao de edificacoes e aquisicao de equipamentos e utensilios.",464000.0
048,201600,07,07  ,08,244,0137,1,004,0000,S,Implantacao de Cozinha Comunitaria,"Implantacao de Cozinha Comunitaria do Municipio de Crateus, por meio de elaboracao de Projeto Executivo, Construcao de edificacoes e aquisicao de equipamentos e utensilios.",418000.0
048,201600,07,07  ,08,244,0137,1,048,0000,S,"Reforma, Adaptacao e Recuperacao dos CRAS","Reforma, Adaptacao e Recuperacao dos CRAS",155000.0
048,201600,07,07  ,08,244,0137,2,019,0000,S,Manutencao da Cozinha Comunitario de Cra teus - Ce,MANUTENCAO DA COZINHA COMUNITARIA,120000.0
048,201600,07,07  ,08,244,0137,2,020,0000,S,Acolhimento Instituc. p/Jovens e Adultos Com Defic. Piso de Alta Complexidade II;,Servico de acolhimento institucional para jovens e adultos com deficiencia em situacao de dependencia em residencia inclusiva por meio do Piso de Alta Complexildade II - Pac II.,190000.0
048,201600,07,07  ,08,244,0137,2,021,0000,S,Gestao do Programa Bolsa Familia IGD/PBF,Gestao do programa bolsa familia - mIGD/PBF,450000.0
