codigo_municipio,exercicio_orcamento,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_projeto_atividade,numero_projeto_atividade,numero_subprojeto_atividade,codigo_elemento_despesa,tipo_fonte,codigo_fonte,valor_atual_categoria_economica,valor_orcado_categoria_economica
048,201000,01,01  ,01,031,0001,2,001,0000,31900300,0,00       ,0,70000
048,201000,02,02  ,04,122,0037,2,002,0000,31900400,0,00       ,0,5000
048,201000,03,03  ,04,122,0037,2,004,0000,31900400,0,00       ,0,1000
048,201000,04,04  ,04,122,0037,2,005,0000,31900400,0,00       ,0,1000
048,201000,05,05  ,04,122,0037,2,006,0000,31900100,0,00       ,0,30000
048,201000,06,06  ,04,123,0037,2,007,0000,31900400,0,00       ,0,1000
048,201000,07,07  ,08,122,0037,2,009,0000,31900400,0,00       ,0,1000
048,201000,08,08  ,12,122,0037,2,023,0000,31900400,0,00       ,0,50000
048,201000,09,09  ,10,122,0037,2,027,0000,31900400,0,00       ,0,120000
048,201000,10,10  ,04,122,0037,2,036,0000,31900400,0,00       ,0,5000
048,201000,11,11  ,17,512,0412,1,022,0000,44905100,0,00       ,0,200000
048,201000,12,12  ,06,122,0037,2,039,0000,31900400,0,00       ,0,1000
048,201000,13,13  ,04,122,0037,2,050,0000,33903000,0,00       ,0,15000
048,201000,14,14  ,23,695,0536,2,041,0000,33903000,0,00       ,0,3000
048,201000,15,15  ,12,361,0231,2,044,0000,31900400,0,00       ,0,200000
048,201000,16,16  ,04,122,0037,2,048,0000,31901100,0,00       ,0,50000
048,201000,18,18  ,04,124,0042,2,052,0000,31901100,0,00       ,0,75000
048,201000,99,99  ,99,999,0999,9,001,0000,99999900,0,00       ,0,364000
